omega_n,omega_next,return_time,impact_count,return_type,omega_next_exact,absolute_error,attractor,gamma,alpha,omega_1,omega_2,gravity,length,mass,num_spokes
-8.0,-5.603568562447995,0.0994204705953598,1,uphill_step,-5.603568557934805,4.513189821864216e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.98,-5.589291603394313,0.0996760481595993,1,uphill_step,-5.589291599431501,3.96281230052864e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.96,-5.575013957853339,0.09993296027183532,1,uphill_step,-5.575013953657475,4.195864100609015e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.94,-5.560735619653601,0.10019121706485748,1,uphill_step,-5.560735615318854,4.334746783740684e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.92,-5.546456583396729,0.10045082926750182,1,uphill_step,-5.546456579066994,4.329734792918316e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.9,-5.5321768434096485,0.10071180760860442,1,uphill_step,-5.5321768394977715,3.911877044515677e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.88,-5.517896395028788,0.10097416341304778,1,uphill_step,-5.517896391150847,3.877940635277355e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.86,-5.503615233280162,0.1012379080057144,1,uphill_step,-5.503615228508943,4.771218975463398e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.84,-5.489333350331305,0.10150305151939391,1,uphill_step,-5.489333345997085,4.334220093937802e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.82,-5.475050741846547,0.10176960587501525,1,uphill_step,-5.475050737981846,3.864701447753305e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.8,-5.460767403166893,0.10203758299350738,1,uphill_step,-5.4607673987705745,4.396318864507975e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.78,-5.446483326761728,0.10230699360370635,1,uphill_step,-5.446483322610614,4.151113230932424e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.76,-5.432198508583883,0.10257785022258757,1,uphill_step,-5.432198503688498,4.895385430359056e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.74,-5.417912940433535,0.10285016357898712,1,uphill_step,-5.417912936129147,4.304387957176914e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.72,-5.403626618856948,0.10312394678592682,1,uphill_step,-5.403626613995044,4.8619037684716204e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.7,-5.389339536238283,0.10339921116828918,1,uphill_step,-5.389339531285402,4.952880772179924e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.68,-5.375051685882444,0.10367596864700317,1,uphill_step,-5.375051681935305,3.947139504134611e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.66,-5.360763064554,0.10395423293113708,1,uphill_step,-5.3607630598148575,4.739142411835928e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.64,-5.34647366356873,0.10423401534557342,1,uphill_step,-5.346473658728297,4.84043294335379e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.62,-5.332183476420066,0.1045153284072876,1,uphill_step,-5.332183472413112,4.006953879809316e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.6,-5.317892498773911,0.10479818582534789,1,uphill_step,-5.317892494539124,4.234786743495533e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.58,-5.30360072337569,0.10508260011672972,1,uphill_step,-5.303600718707579,4.66811123089883e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.56,-5.289308142588842,0.1053685837984085,1,uphill_step,-5.2893081384502025,4.138639653206155e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.54,-5.275014752205129,0.10565615117549895,1,uphill_step,-5.275014747228253,4.9768758003665425e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.52,-5.260720542535644,0.10594531416893005,1,uphill_step,-5.260720538431551,4.104093065393499e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
-7.5,-5.2464255098524655,0.10623608767986296,1,uphill_step,-5.246425505377499,4.474966175394002e-09,standing,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
